 "word","cnt","feetscore","feettype" 
 ABYSSINIA,4,0-1-2-0,mud 
 ABYSSINIAN,4,0-1-2-0,mud 
 ABZUG,2,1-2,mud 
 AC,2,1-1,mud 
 ACA,2,1-0,mud 
 ACACIA,3,0-1-0,mud 
 ACADEME,3,1-0-2,mud 
 ACADEMIA,5,2-0-1-0-0,mud 
 ACADEMIC,4,2-0-1-0,mud 
 ACADEMICALLY,5,2-0-1-0-0,mud 
 ACADEMICIAN,5,2-0-0-1-0,mud 
 ACADEMICIANS,5,2-0-0-1-0,mud 
 ACADEMICS,4,2-0-1-0,mud 
 ACADEMIES,4,0-1-0-0,mud 
 ACADEMY,4,0-1-0-0,mud 
 ACADIA,4,0-1-0-0,mud 
 ACAMPO,3,0-1-0,mud 
 ACAMPORA,4,0-1-0-0,mud 
 ACAMPSIA,3,0-1-0,mud 
 ACANTHA,3,0-1-0,mud 
 ACAPULCO,4,2-0-1-0,mud 
 ACARY,3,1-0-0,mud 
 ACC,3,2-2-1,mud 
 ACCARDI,3,0-1-0,mud 
 ACCARDO,3,0-1-0,mud 
 ACCEDE,2,0-1,mud 
 ACCEDED,3,0-1-0,mud 
 ACCEDES,2,0-1,mud 
 ACCEDING,3,0-1-0,mud 
 ACCEL,2,0-1,mud 
 ACCELERANT,4,0-1-0-0,mud 
 ACCELERANTS,4,0-1-0-0,mud 
 ACCELERATE,4,0-1-0-2,mud 
 ACCELERATED,5,0-1-0-2-0,mud 
 ACCELERATES,4,0-1-0-2,mud 
 ACCELERATING,5,0-1-0-2-0,mud 
 ACCELERATION,5,2-2-0-1-0,mud 
 ACCELERATOR,5,0-1-0-2-0,mud 
 ACCELERATORS,5,0-1-0-2-0,mud 
 ACCELEROMETER,6,0-2-0-1-0-0,mud 
 ACCELEROMETERS,6,0-2-0-1-0-0,mud 
 ACCENT,2,0-1,mud 
 ACCENTED,3,1-0-0,mud 
 ACCENTING,3,1-0-0,mud 
 ACCENTS,2,1-0,mud 
 ACCENTUATE,4,0-1-0-0,mud 
 ACCENTUATED,5,0-1-0-2-0,mud 
 ACCENTUATES,4,0-1-0-2,mud 
 ACCENTUATING,5,0-1-0-2-0,mud 
 ACCEPT,2,0-1,mud 
 ACCEPTABILITY,6,0-2-0-1-0-0,mud 
 ACCEPTABLE,4,0-1-0-0,mud 
 ACCEPTABLY,4,0-1-0-0,mud 
 ACCEPTANCE,3,0-1-0,mud 
 ACCEPTANCES,4,0-1-0-0,mud 
 ACCEPTED,3,0-1-0,mud 
 ACCEPTING,3,0-1-0,mud 
 ACCEPTS,2,0-1,mud 
 ACCESS,2,1-2,mud 
 ACCESSED,2,1-2,mud 
 ACCESSIBILITY,6,2-0-0-1-0-0,mud 
 ACCESSIBLE,4,0-1-0-0,mud 
 ACCESSING,3,1-2-0,mud 
 ACCESSION,3,0-1-0,mud 
 ACCESSORIES,4,0-1-0-0,mud 
 ACCESSORIZE,4,0-1-0-2,mud 
 ACCESSORIZED,4,0-1-0-2,mud 
 ACCESSORY,4,0-1-0-0,mud 
 ACCETTA,3,0-1-0,mud 
 ACCIDENT,3,1-0-0,mud 
 ACCIDENTAL,4,2-0-1-0,mud 
 ACCIDENTALLY,5,2-0-1-0-0,mud 
 ACCIDENTLY,4,1-0-0-0,mud 
 ACCIDENTS,3,1-0-0,mud 
 ACCION,3,1-0-0,mud 
 ACCIVAL,3,1-0-2,mud 
 ACCLAIM,2,0-1,mud 
 ACCLAIMED,2,0-1,mud 
 ACCLAIMING,3,0-1-0,mud 
 ACCLAIMS,2,0-1,mud 
 ACCLAMATION,4,2-0-1-0,mud 
 ACCLIMATE,3,1-0-2,mud 
 ACCLIMATED,4,1-0-2-0,mud 
 ACCLIMATION,4,2-0-1-0,mud 
 ACCO,2,1-0,mud 
 ACCOKEEK,3,1-0-0,mud 
 ACCOLA,3,0-1-0,mud 
 ACCOLADE,3,1-0-2,mud 
 ACCOLADES,3,1-0-2,mud 
 ACCOMANDO,4,0-0-1-0,mud 
 ACCOMMODATE,4,0-1-0-2,mud 
 ACCOMMODATED,5,0-1-0-2-0,mud 
 ACCOMMODATES,4,0-1-0-2,mud 
 ACCOMMODATING,5,0-1-0-2-0,mud 
 ACCOMMODATION,5,0-2-0-1-0,mud 
 ACCOMMODATIONS,5,0-2-0-1-0,mud 
 ACCOMMODATIVE,5,0-1-0-2-0,mud 
 ACCOMPANIED,4,0-1-0-0,mud 
 ACCOMPANIES,4,0-1-0-0,mud 
 ACCOMPANIMENT,4,0-1-0-0,mud 
 ACCOMPANIMENTS,4,0-1-0-0,mud 
 ACCOMPANIST,4,0-1-0-0,mud 
 ACCOMPANY,4,0-1-0-0,mud 
 ACCOMPANYING,5,0-1-0-0-0,mud 
 ACCOMPLI,3,2-1-0,mud 
 ACCOMPLICE,3,0-1-0,mud 
 ACCOMPLICES,4,0-1-0-0,mud 
 ACCOMPLISH,3,0-1-0,mud 
 ACCOMPLISHED,3,0-1-0,mud 
 ACCOMPLISHES,4,0-1-0-0,mud 
 ACCOMPLISHING,4,0-1-0-0,mud 
 ACCOMPLISHMENT,4,0-1-0-0,mud 
 ACCOMPLISHMENTS,4,0-1-0-0,mud 
 ACCOR,2,1-2,mud 
 ACCORD,2,0-1,mud 
 ACCORDANCE,3,0-1-0,mud 
 ACCORDED,3,0-1-0,mud 
 ACCORDING,3,0-1-0,mud 
 ACCORDINGLY,4,0-1-0-0,mud 
 ACCORDION,4,0-1-0-0,mud 
 ACCORDIONS,4,0-1-0-0,mud 
 ACCORDS,2,0-1,mud 
 ACCOST,2,0-1,mud 
 ACCOSTED,3,0-1-0,mud 
 ACCOSTING,3,0-1-0,mud 
 ACCOUNT,2,0-1,mud 
 ACCOUNTABILITY,6,0-1-0-2-0-0,mud 
 ACCOUNTABLE,4,0-1-0-0,mud 
 ACCOUNTANCY,4,0-1-0-2,mud 
 ACCOUNTANT,3,0-1-0,mud 
 ACCOUNTANTS,3,0-1-0,mud 
 ACCOUNTED,3,0-1-0,mud 
 ACCOUNTEMP,3,0-1-2,mud 
 ACCOUNTEMPS,3,0-1-2,mud 
