339,ABYSS,2,0-1,mud
341,ABYSSINIAN,4,0-1-2-0,mud
343,ACACIA,3,0-1-0,mud
344,ACADEMIA,5,2-0-1-0-0,mud
345,ACADEMIC,4,2-0-1-0,mud
347,ACADEMICALLY,5,2-0-1-0-0,mud
348,ACADEMICIAN,5,2-0-0-1-0,mud
351,ACADEMY,4,0-1-0-0,mud
352,ACADIA,4,0-1-0-0,mud
375,ACAPULCO,4,2-0-1-0,mud
396,ACCEDE,2,0-1,mud
398,ACCELERATE,4,0-1-0-2,mud
399,ACCELERATED,5,0-1-0-2-0,mud
400,ACCELERATING,5,0-1-0-2-0,mud
401,ACCELERATION,5,2-2-0-1-0,mud
403,ACCELERATOR,5,0-1-0-2-0,mud
404,ACCELEROMETER,6,0-2-0-1-0-0,mud
406,ACCENT,2,0-1,mud
407,ACCENTED,3,1-0-0,mud
409,ACCENTS,2,1-0,mud
411,ACCENTUATE,4,0-1-0-0,mud
413,ACCEPT,2,0-1,mud
415,ACCEPTABILITY,6,0-2-0-1-0-0,mud
416,ACCEPTABLE,4,0-1-0-0,mud
417,ACCEPTABLY,4,0-1-0-0,mud
418,ACCEPTANCE,3,0-1-0,mud
420,ACCEPTED,3,0-1-0,mud
421,ACCEPTING,3,0-1-0,mud
425,ACCESS,2,1-2,mud
426,ACCESSIBLE,4,0-1-0-0,mud
427,ACCESSION,3,0-1-0,mud
430,ACCESSORY,4,0-1-0-0,mud
433,ACCIDENT,3,1-0-0,mud
434,ACCIDENTAL,4,2-0-1-0,mud
435,ACCIDENTALLY,5,2-0-1-0-0,mud
437,ACCIDENTS,3,1-0-0,mud
445,ACCLAIM,2,0-1,mud
447,ACCLAMATION,4,2-0-1-0,mud
454,ACCOLADE,3,1-0-2,mud
455,ACCOMMODATE,4,0-1-0-2,mud
456,ACCOMMODATING,5,0-1-0-2-0,mud
457,ACCOMMODATION,5,0-2-0-1-0,mud
459,ACCOMMODATIVE,5,0-1-0-2-0,mud
461,ACCOMPANIED,4,0-1-0-0,mud
462,ACCOMPANIMENT,4,0-1-0-0,mud
463,ACCOMPANIST,4,0-1-0-0,mud
464,ACCOMPANY,4,0-1-0-0,mud
465,ACCOMPANYING,5,0-1-0-0-0,mud
466,ACCOMPLI,3,2-1-0,mud
467,ACCOMPLICE,3,0-1-0,mud
468,ACCOMPLISH,3,0-1-0,mud
470,ACCOMPLISHED,3,0-1-0,mud
471,ACCOMPLISHMENT,4,0-1-0-0,mud
472,ACCOMPLISHMENTS,4,0-1-0-0,mud
474,ACCORD,2,0-1,mud
475,ACCORDANCE,3,0-1-0,mud
478,ACCORDING,3,0-1-0,mud
479,ACCORDINGLY,4,0-1-0-0,mud
480,ACCORDION,4,0-1-0-0,mud
482,ACCOST,2,0-1,mud
486,ACCOUNT,2,0-1,mud
487,ACCOUNTABILITY,6,0-1-0-2-0-0,mud
488,ACCOUNTABLE,4,0-1-0-0,mud
490,ACCOUNTANCY,4,0-1-0-2,mud
491,ACCOUNTANT,3,0-1-0,mud
494,ACCOUNTING,3,0-1-0,mud
495,ACCOUNTS,2,0-1,mud
501,ACCOUTERMENT,4,0-1-0-0,mud
502,ACCOUTERMENTS,4,0-1-0-0,mud
505,ACCREDIT,3,0-1-2,mud
506,ACCREDITATION,5,0-2-0-1-0,mud
